conferenceJournalId,proceedingsVolumeIds
con1,pro1
con41,pro41
con34,pro34
con59,pro59
con88,pro88
con37,pro37
con41,pro41
con34,pro34
jou304,vol304
con53,pro53
jou22,vol22
jou307,vol307
con4,pro4
con51,pro51
con45,pro45
jou308,vol308
con59,pro59
con7,pro7
con78,pro78
con79,pro79
con85,pro85
jou309,vol309
con20,pro20
jou310,vol310
con39,pro39
con32,pro32
con50,pro50
con83,pro83
con1,pro1
con97,pro97
con107,pro107
jou106,vol106
con37,pro37
con39,pro39
jou311,vol311
con3,pro3
jou312,vol312
con88,pro88
con71,pro71
con76,pro76
con57,pro57
jou312,vol312
con66,pro66
con11,pro11
con48,pro48
con43,pro43
con96,pro96
con76,pro76
con49,pro49
con104,pro104
con35,pro35
con46,pro46
con90,pro90
con14,pro14
con4,pro4
con111,pro111
con48,pro48
con88,pro88
con57,pro57
jou311,vol311
con68,pro68
con63,pro63
con24,pro24
con20,pro20
con20,pro20
con92,pro92
con95,pro95
con19,pro19
jou313,vol313
con60,pro60
jou314,vol314
jou266,vol266
con18,pro18
con75,pro75
jou182,vol182
con41,pro41
con56,pro56
con28,pro28
con101,pro101
con45,pro45
con14,pro14
con10,pro10
con71,pro71
con4,pro4
con96,pro96
con84,pro84
con56,pro56
con25,pro25
jou158,vol158
con107,pro107
con106,pro106
jou315,vol315
con34,pro34
jou316,vol316
con80,pro80
jou317,vol317
con73,pro73
con51,pro51
con60,pro60
con11,pro11
jou318,vol318
con23,pro23
con80,pro80
jou319,vol319
con21,pro21
con103,pro103
jou320,vol320
jou100,vol100
con52,pro52
jou321,vol321
con57,pro57
con33,pro33
con109,pro109
con42,pro42
con79,pro79
con23,pro23
con73,pro73
con70,pro70
con85,pro85
con46,pro46
con97,pro97
con96,pro96
con38,pro38
con78,pro78
con111,pro111
con13,pro13
con73,pro73
con18,pro18
jou182,vol182
con70,pro70
con86,pro86
con54,pro54
jou0,vol0
con37,pro37
con39,pro39
con95,pro95
