authorId,authorUrl,authorName
aut408,2788233,G. Nychas
aut409,145891167,E. Sims
aut410,2286217,P. Tsakanikas
aut411,1875389,F. Mohareb
aut412,144518215,Amy X. Zhang
aut413,1561777696,Michael J. Muller
aut414,24040678,S. Latif
aut415,143997402,Muhammad Usman
aut416,1483726395,Sanaullah Manzoor
aut417,14577774,Waleed Iqbal
aut418,1734917,Junaid Qadir
aut419,1749012,Gareth Tyson
aut420,2085689125,Ignacio Castro
aut421,1740639,Adeel Razi
aut422,49143963,M. Boulos
aut423,145689461,Adrian Weller
aut424,144334554,J. Crowcroft
aut425,2126470942,R. R. Silva
aut426,2063775514,Ii Michael S Robeson
aut427,145910366,J. J. Hooft
aut428,91066710,Chase Williamson
aut429,46867002,Yi Zhang
aut430,1804315,Z. Ives
aut431,3045510,M. M. Hoque
aut432,9383283,Md. Kafil Uddin
aut433,40996433,Tawfeeq Alsanoosy
aut434,5446768,Somalee Datta
aut435,145882108,J. Posada
aut436,1587676605,Garrick Olson
aut437,2108689288,Wencheng Li
aut438,1500544912,Ciaran O'Reilly
aut439,2081591992,Deepa Balraj
aut440,15291510,Joseph Mesterhazy
aut441,1587802648,Joseph Pallas
aut442,2057113353,Priyamvada Desai
aut443,143665076,N. Shah
aut444,145872183,Huadong Guo
aut445,1987744,S. Nativi
aut446,2087749667,Dong Liang
aut447,2196719,M. Craglia
aut448,2108594617,Lizhe Wang
aut449,1681824,S. Schade
aut450,2074418,C. Corbane
aut451,3327178,G. He
aut452,1981923,M. Pesaresi
aut453,46276515,Jianhui Li
aut454,23536395,Zeeshan Shirazi
aut455,2146650970,Jie Liu
aut456,12761970,A. Annoni
aut457,88817685,Saeed Nosratabadi
aut458,3081489,A. Mosavi
aut459,7817034,Puhong Duan
aut460,2370080,Pedram Ghamisi
aut461,29619587,Ferdinánd Filip
aut462,1955932190,Shahab S. Band
aut463,40534939,U. Reuter
aut464,143931014,João Gama
aut465,1764455,A. Gandomi
aut466,31904485,Samir Passi
aut467,1771108,Phoebe Sengers
aut468,1783400,P. Combettes
aut469,1737505,J. Pesquet
aut470,1397958668,L. Maier-Hein
aut471,145472146,M. Wagner
aut472,118012992,T. Ross
