ID,name,city
25360820,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
50766486,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
44029392,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
49836776,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023",Wuhan
62818598,"13th International Conference on Computer Engineering and Networks, CENet 2023",Wuxi
60600790,"6th Chinese Conference on Pattern Recognition and Computer Vision, PRCV 2023",Xiamen
99595051,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
96875693,"6th China Aeronautical Science and Technology Conference, CASTC 2023",Wuzhen
25197467,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
57164076,"16th Annual International Conference on Combinatorial Optimization and Applications, COCOA 2023",Hawai
70433503,"16th International Conference on Verification and Evaluation of Computer and Communication Systems, VECoS 2023",Marrakech
67833512,"6th China Aeronautical Science and Technology Conference, CASTC 2023",Wuzhen
79793065,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
85453834,"40th Computer Graphics International Conference, CGI 2023",Shanghai
94698311,"6th Chinese Conference on Pattern Recognition and Computer Vision, PRCV 2023",Xiamen
88913725,"6th China Aeronautical Science and Technology Conference, CASTC 2023",Wuzhen
30007270,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
71088826,"38th CCF National Conference of Computer Applications, CCF NCCA 2023",Suzhou
20344978,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
84579592,"38th CCF National Conference of Computer Applications, CCF NCCA 2023",Suzhou
48647423,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
29512051,"6th China Aeronautical Science and Technology Conference, CASTC 2023",Wuzhen
60549913,"6th China Aeronautical Science and Technology Conference, CASTC 2023",Wuzhen
91090285,"1st International Conference on Artificial Intelligence of Things, ICAIoT 2023",Chandigarh
56226927,"International Conference on Water Reactor Fuel Performance Meeting, WRFPM 2023",Xi’an
78873901,"6th Chinese Conference on Pattern Recognition and Computer Vision, PRCV 2023",Xiamen
12462852,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
79583279,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
59952504,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
31184244,"2nd International Conference on Big Data, Machine Learning, and Applications, BigDML 2021",Silchar
79740479,"8th International Conference on Emerging Research in Computing, Information, Communication and Applications, ERCICA 2023",Bangalore
59979177,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
48974921,"9th International Symposium on Dependable Software Engineering: Theories, Tools and Applications, SETTA 2023",Nanjing
82386331,"3rd International Conference on Micro and Nanoelectronics Devices, Circuits and Systems, MNDCS 2023",Silchar
23505684,"25th International Conference on Human-Computer Interaction, HCII 2023",Copenhagen
27489877,"3rd International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability, ARTIIS 2023",Madrid
81280092,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
58888133,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
65502285,"38th CCF National Conference of Computer Applications, CCF NCCA 2023",Suzhou
79984384,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
26000238,"4th International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2023",Bengaluru
51087771,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
44509677,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
34370403,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
34025809,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
66626562,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
96753117,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
10274480,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
77868016,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
84568267,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
50862825,"30th International Conference on Neural Information Processing, ICONIP 2023",Changsha
20011595,"36th Australasian Joint Conference on Artificial Intelligence, AJCAI 2023",Brisbane
