ID,name,year,edition
193960.0,"4th Multimodal Sentiment Analysis Challenge and Workshop, MuSe 2023, In conjunction with ACM Multimedia 2023",2023,1.0
195110.0,"1st Workshop on Large Generative Models Meet Multimodal Applications, LGM3A 2023",2023,1.0
194024.0,"2023 International Conference on Clean Energy and Low Carbon Technologies, CELCT 2023",2023,1.0
194357.0,"2022 International Conference on Recent Advances in Industry 4.0 Technologies, ICRAIT 2022",2022,1.0
194516.0,"1st 2022 International Conference on Sustainable Environment, Development, and Energy,CONSER 2022",2022,1.0
194354.0,"9th International Conference on Actual Problems of Engineering Mechanics, APEM 2022",2022,1.0
194105.0,"31st ACM International Conference on Multimedia, MM 2023",2023,1.0
194216.0,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023",2023,1.0
195480.0,"56th Annual IEEE/ACM International Symposium on Microarchitecture, MICRO 2023",2023,1.0
194244.0,"SAE 2023 Energy and Propulsion Conference and Exhibition (formerly called Powertrains, Fuels and Lubricants Conference and Exhibition), FFL 2023",2023,1.0
194021.0,"2023 8th International Conference on Ecological Building and Green Building Material, EBGBM 2023",2023,1.0
194214.0,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023",2023,2.0
194247.0,"SAE 2023 Vehicle Powertrain Diversification Technology Forum, VEPD 2023",2023,1.0
196451.0,"2nd International Conference on Digitalization and Management Innovation: Build a New Ecology of Lifelong Education, DMI 2023",2023,1.0
193843.0,"29th ACM Symposium on Operating Systems Principles, SOSP 2023",2023,1.0
193606.0,"2023 International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing, MobiHoc 2023",2023,1.0
194142.0,"23rd Edition of the ACM Internet Measurement Conference, IMC 2023",2023,1.0
194020.0,"4th International Conference on Air Pollution and Environmental Engineering, APEE 2023",2023,1.0
196184.0,"7th International Conference on Computer Science and Application Engineering, CSAE 2023",2023,1.0
193792.0,"32nd ACM International Conference on Information and Knowledge Management, CIKM 2023",2023,1.0
193625.0,"9th International Conference on Advances in Machinery, Materials Science and Engineering Applications, MMSE 2023",2023,1.0
196943.0,5th International Conference on Big-data Service and Intelligent Computation,2023,1.0
193523.0,"11th International Scientific and Practical Conference on Innovative Technologies in Environmental Science and Education, ITSE 2023",2023,1.0
193616.0,"2023 ACM Symposium on Spatial User Interaction, SUI 2023",2023,1.0
193624.0,"4th International Conference on Green Energy, Environment and Sustainable Development, GEESD 2023",2023,1.0
193433.0,"2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2023 ACM International Symposium on Wearable Computing, UbiComp/ISWC 2023",2023,1.0
193310.0,"15th International Conference on Materials Processing and Characterization, ICMPC 2023",2023,1.0
193965.0,"2023 Workshop on LEO Networking and Communication, LEO-NET 2023",2023,1.0
193597.0,"19th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2023",2023,1.0
193336.0,"2nd International Symposium on Civil, Environmental, and Infrastructure Engineering, ISCEIE 2022",2022,1.0
193303.0,"25th International Conference on Multimodal Interaction, ICMI 2023",2023,1.0
193306.0,"25th International Conference on Multimodal Interaction, ICMI 2023 Companion",2023,1.0
193333.0,"1st International Conference on Advances in Communications, Computing and Electronic Systems, ACCES 2022",2022,1.0
193052.0,"26th European Conference on Artificial Intelligence, ECAI 2023",2023,1.0
193491.0,Young Transportation Engineers Conference 2022,2022,1.0
193081.0,"2022 International Conference on Innovations in Science, Hybrid Materials, and Vibration Analysis, IC-ISHVA 2022",2022,1.0
196183.0,"8th International Conference on Cyber Security and Information Engineering, ICCSIE 2023",2023,1.0
196102.0,"5th World Symposium on Software Engineering, WSSE 2023",2023,1.0
193067.0,"37th Brazilian Symposium on Software Engineering, SBES 2023, held in conjunction with the Brazilian Conference on Software: Theory and Practice, CBSoft 2023",2023,1.0
196562.0,"15th International Conference on Education Technology and Computers, ICETC 2023",2023,1.0
196563.0,"2023 International Conference on Power, Communication, Computing and Networking Technologies, PCCNT 2023",2023,1.0
196185.0,"9th International Conference on Industrial and Business Engineering, ICIBE 2023",2023,1.0
193912.0,"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023",2023,1.0
196086.0,"2023 ACM Recommender Systems Challenge Workshop, RecSysChallenge 2023, held at 17th ACM Conference on Recommender Systems, ACM RecSys 2023",2023,1.0
193622.0,"2nd International Conference on New Materials, Machinery, and Vehicle Engineering, NMMVE 2023",2023,1.0
192852.0,"15th Biannual Conference of the Italian SIGCHI Chapter: Crossing HCI and AI, CHItaly 2023",2023,1.0
