START_ID,END_ID
2-s2.0-85185318666,66921171
2-s2.0-85181971249,10015897
2-s2.0-85181971249,40121648
2-s2.0-85181971249,81083234
2-s2.0-85182478105,69577834
2-s2.0-85182478105,82054742
2-s2.0-85182478105,54095306
2-s2.0-85181704169,44183821
2-s2.0-85181704169,68245533
2-s2.0-85181704169,50758719
2-s2.0-85178240017,79046458
2-s2.0-85178240017,10015897
2-s2.0-85178240017,81274600
2-s2.0-85181946212,84745767
2-s2.0-85181946212,20441901
2-s2.0-85181946212,46357087
2-s2.0-85176316602,92085882
2-s2.0-85176316602,99339927
2-s2.0-85176316602,76794563
2-s2.0-85185550922,83842727
2-s2.0-85185550922,81606439
2-s2.0-85185550922,31236827
2-s2.0-85181453912,27015384
2-s2.0-85181453912,80896508
2-s2.0-85181453912,50758719
2-s2.0-85185339170,38453089
2-s2.0-85185339170,77494393
2-s2.0-85185339170,38836525
2-s2.0-85185566942,57800494
2-s2.0-85185566942,81606439
2-s2.0-85185566942,30697392
2-s2.0-85181765585,32389343
2-s2.0-85181765585,19190410
2-s2.0-85181765585,45981116
2-s2.0-85181462351,29039877
2-s2.0-85181462351,72165607
2-s2.0-85181462351,46616072
2-s2.0-85181845969,44858890
2-s2.0-85181845969,74916215
2-s2.0-85181845969,79943113
2-s2.0-85185314600,86963836
2-s2.0-85185314600,80239741
2-s2.0-85185314600,81722063
2-s2.0-85181499563,42232975
2-s2.0-85181499563,44858890
2-s2.0-85181499563,27565597
2-s2.0-85181481803,40622737
2-s2.0-85181481803,22322207
2-s2.0-85181481803,64756880
2-s2.0-85181583240,13161916
2-s2.0-85181583240,16046907
2-s2.0-85181583240,78189679
2-s2.0-85181940968,24329334
2-s2.0-85181940968,54095306
2-s2.0-85181940968,75364217
2-s2.0-85181912099,73166974
2-s2.0-85181912099,79991828
2-s2.0-85181912099,34994724
2-s2.0-85181657545,77123257
2-s2.0-85181657545,94939953
2-s2.0-85181657545,66968429
2-s2.0-85178441941,51549703
2-s2.0-85178441941,30912824
2-s2.0-85178441941,27618083
2-s2.0-85182479889,51274688
2-s2.0-85182479889,57779587
2-s2.0-85182479889,68223490
2-s2.0-85181469198,40102057
2-s2.0-85181469198,47252886
2-s2.0-85181469198,96771552
2-s2.0-85182237959,39156228
2-s2.0-85182237959,39163486
2-s2.0-85182237959,51921826
2-s2.0-85181259382,50606303
2-s2.0-85181259382,42407368
2-s2.0-85181259382,75365953
2-s2.0-85177184159,52102358
2-s2.0-85177184159,12854030
2-s2.0-85177184159,16515509
2-s2.0-85182395966,68146947
2-s2.0-85182395966,28920472
2-s2.0-85182395966,40766717
2-s2.0-85180130101,74975375
2-s2.0-85180130101,14436436
2-s2.0-85180130101,82719056
2-s2.0-85181234488,65793449
2-s2.0-85181234488,99564156
2-s2.0-85181234488,85317946
2-s2.0-85181253046,35072070
2-s2.0-85181253046,36120293
2-s2.0-85181253046,10575983
2-s2.0-85181966846,32131649
2-s2.0-85181966846,38970272
2-s2.0-85181966846,99062497
2-s2.0-85182157173,40121648
2-s2.0-85182157173,95752799
2-s2.0-85182157173,91418709
2-s2.0-85181736060,22594666
2-s2.0-85181736060,17760547
2-s2.0-85181736060,49261282
2-s2.0-85185338542,45981116
2-s2.0-85185338542,55986034
2-s2.0-85185338542,92372488
2-s2.0-85185244599,45981116
2-s2.0-85185244599,76183404
2-s2.0-85185244599,30318372
2-s2.0-85181247722,43598995
2-s2.0-85181247722,42350278
